html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,relationships.type.parent,relationships.type.child,relationships.type.related,relationships.type.successor,relationships.type.predecessor
,,Tianjin Municipal Commission of Health*en,active,government;funder,Tianjin Municipal Health Commission*en;Tianjin Municipal Bureau of Public Health*en;Tianjin Health and Family Planning Commission*en,Tianjin Municipal Commission of Health*en;天津市卫生健康委员会*zh,,https://wsjk.tj.gov.cn,,wsjk.tj.gov.cn,1949,501100010590;100017964,501100010590,,,,,,,Tianjin,China,1792947,https://ror.org/01xnshd39,,,,
,,Jiangsu Planning Office of Philosophy and Social Science*en,active,funder;government,Jiangsu Office of Philosophy and Social Science*en;Jiangsu Provincial Planning Office of Philosophy and Social Sciences*en;Jiangsu Social Science Fund*en;Jiangsu Planning Office for Philosophy and Social Science*en;Jiangsu Planning Office of Philosophical and Social Science*en,Jiangsu Planning Office of Philosophy and Social Science*en;江苏省哲学社会科学规划办公室*zh,,https://www.jsxc.gov.cn/zxsk/,,,,100018975,100018975,,,,,,,Nanjing,China,1799962,,,,,
,,Korea Innovation Foundation*en,active,government;funder,INNOPOLIS Foundation*en,Korea Innovation Foundation*en;연구개발특구진흥재단*ko,INNOPOLIS,https://www.innopolis.or.kr,,innopolis.or.kr,2005,501100012633,501100012633,,,,,,,Daejeon,South Korea,,https://ror.org/01wpjm123,,,,
,,Science and Technology Bureau of Jiaxing City*en,active,government;funder,Jiaxing Science and Technology Bureau*en;Jiaxing Municipal Science and Technology Bureau*en;Jiaxing City Science and Technology Bureau*en,Science and Technology Bureau of Jiaxing City*en;嘉兴市科学技术局*zh,,https://kjj.jiaxing.gov.cn,,kjj.jiaxing.gov.cn,,501100019976,501100019976,,,,,,,Jiaxing,China,1805953,,,,,
,,State Key Laboratory of Reliability and Intelligence of Electrical Equipment*en,active,facility;funder,"河北工业大学 省部共建电工装备可靠性与智能化国家重点实验室*zh;State Key Lab of Reliability and Intelligence of Electrical Equipment*en;State Key Laboratory of Reliability and Intelligence of Electrical Equipment, HEBUT*en",State Key Laboratory of Reliability and Intelligence of Electrical Equipment*en;省部共建电工装备可靠性与智能化国家重点实验室*zh,EERI,https://eeri.hebut.edu.cn,,eeri.hebut.edu.cn,2017,501100019644,501100019644,,,,,,,Tianjin,China,1792947,https://ror.org/018hded08,,,,
,,Tamilnadu State Council for Science and Technology*en,active,government;funder,Tamil Nadu State Council for Science and Technology*en,Tamilnadu State Council for Science and Technology*en;தமிழ்நாடு அறிவியல் தொழில்நுட்ப மாநில மன்றம்*ta,TNSCST,https://www.tanscst.tn.gov.in,,tanscst.tn.gov.in,1984,100018333,100018333,,,,,,,Chennai,India,,https://ror.org/013hg1t45,,,,
,,Pratt and Whitney Canada (Canada),active,company;funder,Pratt & Whitney Canada*en,Pratt and Whitney Canada (Canada),P&WC,https://www.prattwhitney.com,,prattwhitney.com,1928,100012770,100012770,,,,,,,Longueuil,Canada,6059891,https://ror.org/052451r09,,,,
,,Guangzhou Key Laboratory of Environmental Exposure and Health*en,active,facility;funder,,Guangzhou Key Laboratory of Environmental Exposure and Health*en;广州市环境暴露与健康重点实验室*zh,,https://cec.jnu.edu.cn,,,2015,501100011237,501100011237,,,,,,,Guangzhou,China,1809858,https://ror.org/02xe5ns62,,,,
,,Wesco Scientific Promotion Foundation*en,active,nonprofit;funder,Wesco Science Foundation*en,公益財団法人ウエスコ学術振興財団*ja,,https://www.wesco.co.jp/zaidan/,,,1998,100016189,100016189,,,,,,,Okayama,Japan,1854383,,,https://ror.org/00mwckg53,,
,,Federal Ministry for Digital and Economic Affairs*en,inactive,government;funder,,Federal Ministry for Digital and Economic Affairs*en;Bundesministerium für Digitalisierung und Wirtschaftsstandort*de,BMDW,,https://en.wikipedia.org/wiki/Ministry_for_Digital_and_Economic_Affairs,,2018,501100012416,501100012416,,,,,,,Vienna,Austria,2761369,,,,,https://ror.org/02d229b24
,,State Key Laboratory of Advanced Marine Materials*en,active,facility;funder,"中国科学院海洋新材料与应用技术重点实验室*zh;Key Laboratory of Marine Materials and Related Technologies, CAS*en","Key Laboratory of Marine Materials and Related Technologies, Chinese Academy of Sciences*en;海洋关键材料全国重点实验室*zh",,http://marinelab.nimte.cas.cn,,marinelab.nimte.cas.cn,2013,501100011367,501100011367,,,,,,,Ningbo,China,,https://ror.org/05nqg3g04,,,,
,,Lianyungang Science and Technology Bureau*en,active,government;funder,连云港市科技局*zh,Lianyungang Science and Technology Bureau*en;连云港市科学技术局*zh,,http://kjj.lyg.gov.cn,,kjj.lyg.gov.cn,2010,501100009159,501100009159,,,,,,,Lianyungang,China,1803847,,,,,
,,Bureau of Science and Technology Nanchong Municipality*en,active,government;funder,Bureau of Science and Technology Nanchong City*en;Nanchong City Science and Technology Bureau*en;Bureau of Science & Technology Nanchong City*en,Bureau of Science and Technology Nanchong Municipality*en;南充市科学技术局*zh,,https://www.nanchong.gov.cn/kjj/,,,,100016809,100016809,,,,,,,Nanchong,China,1800146,,,,,
,,Hoansha Foundation*en,active,nonprofit;funder,,Hoansha Foundation*en;公益財団法人 篷庵社*ja,,https://www.shionogi.com/jp/ja/sustainability/society/social-contribution-activities/foundation/houansha.html,,,1954,100016923;501100003812,100016923,,,,,,,Osaka,Japan,,,,https://ror.org/01v3bqg10,,
,,Iranian Council of Stem Cell Research and Technology*en,active,government;funder,Council for Stem Cell Sciences and Technologies*en;Council for Development of Stem Cell Sciences and Technologies*en;Stem Cell Sciences and Technologies Development Headquarter*en;Iranian Council for Stem Cell Research and Technology*en;Iranian Council of Stem Cell Technology*en,Iranian Council of Stem Cell Research and Technology*en;ستاد توسعه علوم و فناوری‌های سلول‌های بنیادی*fa,ICSCR,https://stemcell.isti.ir,,stemcell.isti.ir,2009,501100010421,501100010421,,,,,,,Tehran,Iran,112931,,,,,
,,Jayne Koskinas Ted Giovanis Foundation for Health and Policy*en,active,nonprofit;funder,JKTG Foundation*en;The Jayne Koskinas Ted Giovanis Foundation for Health and Policy*en;The Ted Giovanis Jayne Koskinas Foundation for Health and Policy*en,Jayne Koskinas Ted Giovanis Foundation for Health and Policy*en,JKTG,https://www.jktgfoundation.org,,jktgfoundation.org,2012,100016460,100016460,,,,,,,Highland,United States,4357998,,,,,
,,Foundation for Scientific and Technological Development in Health*en,active,nonprofit;funder,,Foundation for Scientific and Technological Development in Health*en;Fundação para o Desenvolvimento Científico e Tecnológico em Saúde*pt,FIOTEC,https://www.fiotec.fiocruz.br,,fiotec.fiocruz.br,1998,501100014555,501100014555,,,,,,,Rio de Janeiro,Brazil,3451190,,,https://ror.org/04jhswv08,,
,,Northwest Center for Small Fruits Research*en,active,funder;other,The Northwest Center for Small Fruits Research*en,Northwest Center for Small Fruits Research*en,NCSFR,https://nwsmallfruits.org,,nwsmallfruits.org,1990,100013436,100013436,,,,,,,Corvallis,United States,5720727,,,,,
,,ISREC Foundation*en,active,nonprofit;funder,,ISREC Foundation*en;Fondation ISREC*fr;ISREC Stiftung*de,ISREC,https://www.isrec.ch,,isrec.ch,1964,501100017035,501100017035,,,,,,,Lausanne,Switzerland,2659994,,,,,
,,Jiangsu Provincial Key Laboratory of Advanced Manipulating Technique of Electromagnetic Wave*en,active,facility;funder,Key Laboratory of Advanced Techniques for Manipulating Electromagnetic Waves of Jiangsu Province*en;Jiangsu Key Laboratory of Advanced Techniques for Manipulating Electromagnetic Waves*en,Jiangsu Provincial Key Laboratory of Advanced Manipulating Technique of Electromagnetic Wave*en;江苏省电磁波先进调控技术重点实验室*zh,,https://ese.nju.edu.cn/dcb_lab/main.htm,,,2010,501100019799,501100019799,,,,,,,Nanjing,China,1799962,https://ror.org/01rxvg760,,,,
,,Kadoorie Charitable Foundation*en,active,nonprofit;funder,The Kadoorie Charitable Foundation*en;The Kadoorie Foundation*en,Kadoorie Charitable Foundation*en;嘉道理慈善基金會*zh,KCF,https://www.kadooriecharitablefoundation.com,,kadooriecharitablefoundation.com,1970,501100017647,501100017647,,,,,,,Central,Hong Kong,,,,,,
,,Shanghai Key Laboratory of Psychotic Disorders*en,active,facility;funder,上海市重性精神病重点实验室*zh,Shanghai Key Laboratory of Psychotic Disorders*en;上海市精神障碍转化研究重点实验室*zh,,https://www.smhc.org.cn/keylab/,,,2013,100022821,100022821,,,,,,,Shanghai,China,1796236,https://ror.org/05bd2wa15,,,,
,,TransMedTech Institute*en,active,facility;funder,Institut TransMedTech de Montréal*fr,TransMedTech Institute*en;Institut TransMedTech*fr,iTMT,https://transmedtech.org,,transmedtech.org,2017,501100024255,501100024255,,,,,,,Montréal,Canada,6077243,https://ror.org/05f8d4e86,,,,
,,Guangdong Provincial Key Laboratory Of Computational Science And Material Design*en,active,facility;funder,"Guangdong Provincial Key Laboratory for Computational Science and Mateial Design*en;Guangdong Provincial Key Laboratory for Computational Science and Material Design, SUSTech*en",Guangdong Provincial Key Laboratory Of Computational Science And Material Design*en;广东省计算科学与新材料设计重点实验室*zh,,https://www.sustech.edu.cn/en/ministerial-and-provincial-research-platforms.html,,,2019,501100020745,501100020745,,,,,,,Shenzhen,China,,https://ror.org/049tv2d57,,,,
,,"Key Laboratory of Coal Resources Exploration and Comprehensive Utilization, Ministry of Land and Resources*en",active,facility;funder,国土资源部煤炭资源勘查与综合利用重点实验室*zh;Key Laboratory of Coal Resources Exploration and Comprehensive Utilization*en,"Key Laboratory of Coal Resources Exploration and Comprehensive Utilization, Ministry of Land and Resources*en;自然资源部煤炭资源勘查与综合利用重点实验室*zh",CRECU,http://crecu.com,,crecu.com,2012,501100011396,501100011396,,,,,,,Xi'an,China,1790630,https://ror.org/046fkpt18,,,,
,,Health Commission of Shanxi Province*en,active,government;funder,Health Committee of Shanxi Province*en;Shanxi Provincial Department of Health*en,Health Commission of Shanxi Province*en;山西省卫生健康委员会*zh,,https://wjw.shanxi.gov.cn,,wjw.shanxi.gov.cn,2018,100017949,100017949,,,,,,,Taiyuan,China,1793511,,,,,
,,Jiangsu Key Laboratory of Precision and Micro-Manufacturing Technology*en,active,facility;funder,,Jiangsu Key Laboratory of Precision and Micro-Manufacturing Technology*en;江苏省精密与微细制造技术重点实验室*zh,,https://cmee.nuaa.edu.cn/2019/1220/c11626a190581/page.htm,,,2006,501100011401,501100011401,,,,,,,Nanjing,China,,https://ror.org/01scyh794,,,,
,,Higher Education Commission*en,active,government;funder,Higher Education Commission of Mauritius*en,Higher Education Commission*en;Higher Education Commission Mauritius*en,HEC,https://www.hec.mu,,hec.mu,2020,100031058,100031058,,,,,,,Reduit,Mauritius,934347,,,,,
,,Retina Australia*en,active,nonprofit;funder,Australian Retinitis Pigmentosa Association*en,Retina Australia*en,RA,https://retinaaustralia.com.au,,retinaaustralia.com.au,1983,100013805,100013805,,,,,,,Melbourne,Australia,2158177,,,,,
,,The Carol and Gene Ludwig Family Foundation*en,active,nonprofit;funder,"Ludwig Family Foundation*en;The Carol & Gene Ludwig Family Foundation*en;The Ludwig Family Foundation, Inc.*en;The Ludwig Family Foundation Inc*en;The Ludwig Family Foundation*en",The Carol and Gene Ludwig Family Foundation*en,,https://www.ludwigfamilyfoundation.org,,ludwigfamilyfoundation.org,2002,100018128,100018128,,,,,,,Washington,United States,4140963,,,,,
,,Fundación Lilly*es,active,nonprofit;funder,Lilly Foundation*en,Fundación Lilly*es,,https://www.fundacionlilly.com,,fundacionlilly.com,2001,501100014062,501100014062,,,,,,,Alcobendas,Spain,,,,,,
,,Scandinavian Society for Antimicrobial Chemotherapy Foundation*en,active,nonprofit;funder,Scandinavian Society of Antimicrobial Chemotherapy Foundation*en;Stiftelsen SSAC Foundation*sv,Scandinavian Society for Antimicrobial Chemotherapy Foundation*en,SSAC Foundation,https://www.sls.se/vetenskap/sok-anslag/ssac-foundation,,,1997,501100011777,501100011777,,,,,,,Stockholm,Sweden,2673730,,,,,
,,Hirose Foundation*en,active,nonprofit;funder,Hirose International Scholarship Foundation*en;公益財団法人ヒロセ国際奨学財団*ja,Hirose Foundation*en;公益財団法人ヒロセ財団*ja,,https://hirose-isf.or.jp,,hirose-isf.or.jp,1995,100020107,100020107,,,,,,,Tokyo,Japan,1850147,,,,,
,,Universities South Africa*en,active,nonprofit;funder,Higher Education South Africa*en,Universities South Africa*en,USAf,https://usaf.ac.za,,usaf.ac.za,2005,501100023868,501100023868,,,,,,,Pretoria,South Africa,964137,,,,,
,,Georgia Peanut Commission*en,active,government;funder,Georgia Agricultural Commodity Commission for Peanuts*en,Georgia Peanut Commission*en,GPC,https://gapeanuts.com,,gapeanuts.com,1961,100015380,100015380,,,,,,,Tifton,United States,4226552,,,,,
,,Jiangsu Pharmaceutical Association*en,active,nonprofit;funder,Nanjing Pharmaceutical Association*en,Jiangsu Pharmaceutical Association*en;江苏省药学会*zh,JSPA,http://www.jspa.org.cn,,jspa.org.cn,1962,100020439,100020439,,,,,,,Nanjing,China,1799962,,,,,
,,Yangzhou Municipal Science and Technology Bureau*en,active,government;funder,Yangzhou Science and Technology Bureau*en,Yangzhou Municipal Science and Technology Bureau*en;扬州市科学技术局*zh,,https://kjj.yangzhou.gov.cn,,kjj.yangzhou.gov.cn,,501100014862,501100014862,,,,,,,Yangzhou,China,1787227,,,,,
,,Results Driven Agriculture Research*en,active,nonprofit;funder,,Results Driven Agriculture Research*en,RDAR,https://rdar.ca,,rdar.ca,2020,100032757,100032757,,,,,,,Edmonton,Canada,5946768,,,,,
,,Biomin (Austria),active,company;funder,BIOMIN Holding GmbH,Biomin (Austria);Biomin*en,,,https://en.wikipedia.org/wiki/Biomin,,1983,501100009973,501100009973,,,,,,,Inzersdorf-Getzersdorf,Austria,,,,,,
,,Comisión Nacional de Áreas Naturales Protegidas*es,active,government;funder,National Commission of Protected Natural Areas*en,Comisión Nacional de Áreas Naturales Protegidas*es,CONANP,https://www.gob.mx/conanp,,,2000,501100017641,501100017641,,,,,,,Mexico City,Mexico,3530597,https://ror.org/036p7gy85,,,,
,,Shaanxi Provincial Department of Agriculture and Rural Affairs*en,active,government;funder,"Agriculture Department of Shaanxi Province*en;Shaanxi Provincial Department of Agriculture*en;Department of Agriculture of Shaanxi Province*en;Department of Agriculture, Shaanxi Province*en;Shaanxi Provincial Agriculture Department*en",Shaanxi Provincial Department of Agriculture and Rural Affairs*en;陕西省农业农村厅*zh,,https://nynct.shaanxi.gov.cn,,nynct.shaanxi.gov.cn,2018,501100009100,501100009100,,,,,,,Xi'an,China,1790630,https://ror.org/03f546a26,,,,
,,Samsung Display (South Korea),active,company;funder,"Samsung Display Co., Ltd.*en;三星显示*zh",Samsung Display (South Korea);삼성디스플레이*ko,SDC,https://www.samsungdisplay.com,,samsungdisplay.com,2012,100030688,100030688,,,,,,,Yongin-si,South Korea,1832426,https://ror.org/020m7t761,,,,
,,Copenhagen Center for Health Technology*en,inactive,facility;funder,The Copenhagen Center for Health Technology*en,Copenhagen Center for Health Technology*en,CACHET,https://www.cachet.dk,,cachet.dk,2015,501100023338,501100023338,,,,,,,Copenhagen,Denmark,,,,,,
,,Northeast Dairy Foods Research Center*en,active,facility;funder,,Northeast Dairy Foods Research Center*en,NEDFRC,https://blogs.cornell.edu/nedfrc/,,,1988,100011503,100011503,,,,,,,Ithaca,United States,,https://ror.org/05bnh6r87,,,,
,,Illinois Natural History Survey*en,active,government;funder,,Illinois Natural History Survey*en,INHS,https://inhs.illinois.edu,,inhs.illinois.edu,1858,100016825,100016825,,,,,,,Champaign,United States,4887158,,,,,
,,VGH and UBC Hospital Foundation*en,active,nonprofit;funder,VGH & UBC Hospital Foundation*en,VGH and UBC Hospital Foundation*en,,https://vghfoundation.ca,,vghfoundation.ca,1980,100014823,100014823,,,,,,,Vancouver,Canada,6173331,,,https://ror.org/03bd8jh67,,
,,Louisiana Department of Transportation and Development*en,active,government;funder,Louisiana Department of Transportation & Development*en;Louisiana DOT & Development*en;Louisiana Dept. of Transportation and Development*en;Louisiana DOTD*en,Louisiana Department of Transportation and Development*en,DOTD;LADOTD;LA DOTD,https://dotd.louisiana.gov,https://en.wikipedia.org/wiki/Louisiana_Department_of_Transportation_and_Development,dotd.louisiana.gov,1976,100013418,100013418,,,,,,,Baton Rouge,United States,4315588,,,,,
